Date:,Grand_Prix:,Location: 
2/29/2024,Bahrain,Sakhir
3/7/2024,Saudi Arabia,Jeddah
3/22/2024,Australia,Melbourne
4/5/2024,Japan,Suzuka
4/19/2024,China,Shanghai
5/3/2024,Miami,Miami
5/17/2024,Emilia Romagna,Imola
5/24/2024,Monaco,Monaco
6/7/2024,Canada,Montreal
6/21/2024,Spain,Barcelona
6/28/2024,Austria,Spielberg
7/5/2024,United Kingdom,Silverstone
7/19/2024,Hungary,Budapest
7/26/2024,Belgium,Spa
8/23/2024,Netherlands,Zandvoort
8/30/2024,Italy,Monza
9/13/2024,Azerbaijan,Baku
9/20/2024,Singapore,Singapore
10/18/2024,USA,Austin
10/25/2024,Mexico,Mexico City
11/1/2024,Brazil,Sao Paulo
11/21/2024,Las Vegas,Las Vegas
11/29/2024,Qatar,Lusail
12/6/2024,Abu Dhabi,Yas Marina
